,vtype,id,semi,assign,literal,character,boolstr,addsub,multdiv,lparen,rparen,num,lbrace,rbrace,comma,if,while,comp,else,return,$
0,s4,,,,,,,,,,,,,,,,,,,,r3
1,,,,,,,,,,,,,,,,,,,,,acc
2,s4,,,,,,,,,,,,,,,,,,,,r3
3,s4,,,,,,,,,,,,,,,,,,,,r3
4,,s7,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,r1
6,,,,,,,,,,,,,,,,,,,,,r2
7,,,s9,s11,,,,,,s10,,,,,,,,,,,
8,,,s12,,,,,,,,,,,,,,,,,,
9,r4,r4,,,,,,,,,,,,r4,,r4,r4,,,r4,r4
10,s14,,,,,,,,,,r20,,,,,,,,,,
11,,s23,,,s17,s18,s19,,,s22,,s24,,,,,,,,,
12,r5,r5,,,,,,,,,,,,r5,,r5,r5,,,r5,r5
13,,,,,,,,,,,s25,,,,,,,,,,
14,,s26,,,,,,,,,,,,,,,,,,,
15,,,r6,,,,,,,,,,,,,,,,,,
16,,,r7,,,,,,,,,,,,,,,,,,
17,,,r8,,,,,,,,,,,,,,,,,,
18,,,r9,,,,,,,,,,,,,,,,,,
19,,,r10,,,,,,,,,,,,,,,,,,
20,,,r12,,,,,s27,,,r12,,,,,,,,,,
21,,,r14,,,,,r14,s28,,r14,,,,,,,,,,
22,,s23,,,,,,,,s22,,s24,,,,,,,,,
23,,,r16,,,,,r16,r16,,r16,,,,,,,,,,
24,,,r17,,,,,r17,r17,,r17,,,,,,,,,,
25,,,,,,,,,,,,,s30,,,,,,,,
26,,,,,,,,,,,r22,,,,s32,,,,,,
27,,s23,,,,,,,,s22,,s24,,,,,,,,,
28,,s23,,,,,,,,s22,,s24,,,,,,,,,
29,,,,,,,,,,,s35,,,,,,,,,,
30,s42,s43,,,,,,,,,,,,r24,,s40,s41,,,r24,
31,,,,,,,,,,,r19,,,,,,,,,,
32,s44,,,,,,,,,,,,,,,,,,,,
33,,,r11,,,,,,,,r11,,,,,,,,,,
34,,,r13,,,,,r13,,,r13,,,,,,,,,,
35,,,r15,,,,,r15,r15,,r15,,,,,,,,,,
36,,,,,,,,,,,,,,,,,,,,s46,
37,s42,s43,,,,,,,,,,,,r24,,s40,s41,,,r24,
38,r25,r25,,,,,,,,,,,,r25,,r25,r25,,,r25,
39,,,s48,,,,,,,,,,,,,,,,,,
40,,,,,,,,,,s49,,,,,,,,,,,
41,,,,,,,,,,s50,,,,,,,,,,,
42,,s51,,,,,,,,,,,,,,,,,,,
43,,,,s11,,,,,,,,,,,,,,,,,
44,,s52,,,,,,,,,,,,,,,,,,,
45,,,,,,,,,,,,,,s53,,,,,,,
46,,s23,,,s17,s18,s19,,,s22,,s24,,,,,,,,,
47,,,,,,,,,,,,,,r23,,,,,,r23,
48,r26,r26,,,,,,,,,,,,r26,,r26,r26,,,r26,
49,,,,,,,s56,,,,,,,,,,,,,,
50,,,,,,,s56,,,,,,,,,,,,,,
51,,,s9,s11,,,,,,,,,,,,,,,,,
52,,,,,,,,,,,r22,,,,s32,,,,,,
53,r18,,,,,,,,,,,,,,,,,,,,r18
54,,,s59,,,,,,,,,,,,,,,,,,
55,,,,,,,,,,,s60,,,,,,,,,,
56,,,,,,,,,,,r31,,,,,,,s62,,,
57,,,,,,,,,,,s63,,,,,,,,,,
58,,,,,,,,,,,r21,,,,,,,,,,
59,,,,,,,,,,,,,,r34,,,,,,,
60,,,,,,,,,,,,,s64,,,,,,,,
61,,,,,,,,,,,r29,,,,,,,,,,
62,,,,,,,s65,,,,,,,,,,,,,,
63,,,,,,,,,,,,,s66,,,,,,,,
64,s42,s43,,,,,,,,,,,,r24,,s40,s41,,,r24,
65,,,,,,,,,,,r31,,,,,,,s62,,,
66,s42,s43,,,,,,,,,,,,r24,,s40,s41,,,r24,
67,,,,,,,,,,,,,,s70,,,,,,,
68,,,,,,,,,,,r30,,,,,,,,,,
69,,,,,,,,,,,,,,s71,,,,,,,
70,r33,r33,,,,,,,,,,,,r33,,r33,r33,,s73,r33,
71,r28,r28,,,,,,,,,,,,r28,,r28,r28,,,r28,
72,r27,r27,,,,,,,,,,,,r27,,r27,r27,,,r27,
73,,,,,,,,,,,,,s74,,,,,,,,
74,s42,s43,,,,,,,,,,,,r24,,s40,s41,,,r24,
75,,,,,,,,,,,,,,s76,,,,,,,
76,r32,r32,,,,,,,,,,,,r32,,r32,r32,,,r32,
